Reference,Sample.frame.appropriate,Study.participants.sampled.appropriately,Sample.size.adequate,Study.subjects.and.setting.described.in.detail,Data.analysis.with.sufficient.coverage,Valid.methods.for.identification.of.condition,Condition.measured.in.standard.reliable.way,Appropriate.statistical.analysis,Response.rate.adequate.or.managed.appropriately,Overall
Majiya et al. (16),High,Low,High,Low,Unclear,Low,Unclear,Low,Unclear,Low
Cao et al. (17),Low,Low,Low,Low,Low,Unclear,Low,Low,Low,Low
Malani et al. (18),Low,Low,Low,Low,Unclear,Low,Unclear,Low,Unclear,Low
Shakiba et al. (19),High,Low,Low,Low,Low,High,Low,Low,Low,Low
Nawa et al. (20),Low,Low,High,Low,High,Low,Unclear,Unclear,High,Low
Qutob et al. (21),Low,Low,Not applicable,Low,High,Low,Low,Low,Low,Low
Petersen et al. (22),Low,Low,High,Low,Unclear,Low,Unclear,Low,Low,Low
Riley et al. (23),Low,Low,Low,Low,High,Low,High,Low,High,Low
Ward et al. (24),Low,Low,Low,Low,Unclear,Low,High,Low,High,Low
Weis et al. (25),Low,Low,Low,Low,Low,Low,Unclear,Low,Low,Low
Merkely et al. (26),Low,Low,Low,Low,Low,Low,Unclear,Low,Low,Low
Gudbjartsson et al. (27),Unclear,Unclear,High,Low,Unclear,Low,Low,Low,High,Low
Pagani et al. (28),Low,Low,Low,Low,Low,Unclear,Low,Low,Low,Low
Lavezzo et al. (29),Low,Low,Low,Low,Low,Low,Unclear,Low,Low,Low
Snoeck et al. (30),Low,Low,Low,Low,Unclear,Low,Unclear,Low,Unclear,Low
Vodičar et al. (31),Low,Low,High,Low,High,Low,Low,Low,High,Low
Pollán et al. (32),Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Brotons et al. (33),Low,Low,Low,High,Low,Low,Unclear,Low,High,Low
Lundkvist et al. (34),Low,Unclear,High,Low,Unclear,Low,Unclear,Unclear,Unclear,Unclear
Roxhed et al. (35),Unclear,Unclear,Low,Low,Low,Low,High,Low,High,Low
Stringhini et al. (36),Low,Low,Low,Low,Low,Low,Unclear,Low,High,Low
Sood et al. (37),Low,Low,Low,Low,Unclear,Low,Unclear,Low,High,Low
Bendavid et al. (38),High,High,Low,Low,High,Low,Low,Low,Low,Low
Mahajan et al. (39),Low,Low,Low,Low,Unclear,Low,Unclear,Low,High,Low
Biggs et al. (40),High,Low,Low,Low,High,Low,Low,Low,High,Low
McLaughlin et al. (41),High,High,Low,Low,Low,Low,Low,Low,Low,Low
Menachemi et al. (42),Low,Low,Low,Low,High,Low,Low,Low,High,Low
Feehan et al. (43),Low,Low,Low,Low,Unclear,Low,Unclear,Low,Low,Low
Feehan et al. (44),Low,Low,Low,Low,Low,Low,Unclear,Unclear,Low,Low
Figar et al. (45),High,Unclear,Low,Low,Unclear,Low,Low,Low,Unclear,Low
Hallal et al. (46),High,Low,Low,Low,Low,Low,Unclear,Low,Low,Low
Gomes et al. (47),Low,Low,Low,Low,Unclear,Low,Low,Low,Unclear,Low
da Silva et al. (48),Low,Low,Low,Low,High,Low,Low,Low,Low,Low
Vieira et al. (49),Low,Low,High,High,Unclear,Low,Unclear,Unclear,Unclear,Unclear
Silveira et al. (50),High,Low,High,Low,Low,Low,Unclear,Low,Low,Low
Tess et al. (51),Low,Low,Low,Low,Low,Low,Unclear,Low,Low,Low
Calife et al. (52),Low,Low,Low,Low,Unclear,Low,Low,Low,Unclear,Low
