group,event,start,end,color
Niger (16),,2020-06-26,2020-06-30,#008753
Niger (16),,2020-02-27,2020-02-27,#000000
Wuhan (17),,2020-05-14,2020-06-01,#ff0000
Mumbai (18),,2020-06-29,2020-07-19,#ff9933
Mumbai (18),,2020-01-30,2020-01-30,#000000
Guilan (19),,2020-04-01,2020-04-30,#da0000
Guilan (19),,2020-02-19,2020-02-19,#000000
Utsunomiya (20),,2020-06-14,2020-07-05,#bc002d
Utsunomiya (20),,2020-01-16,2020-01-16,#000000
West Bank (21),,2020-06-15,2020-06-30,#007a3d
West Bank (21),,2020-03-05,2020-03-05,#000000
Faroe Islands (22),,2020-04-27,2020-05-01,#c60c30
Faroe Islands (22),,2020-03-04,2020-03-04,#000000
England (23),,2020-05-01,2020-06-01,#012169
England (23),,2020-01-30,2020-01-30,#000000
England (24),,2020-06-20,2020-07-13,#c8102e
England (24),,2020-01-30,2020-01-30,#000000
Neustadt am Rennsteig (25),,2020-05-12,2020-05-22,#ffcc00
Neustadt am Rennsteig (25),,2020-01-27,2020-01-27,#000000
Hungary (26),,2020-05-01,2020-05-16,#cd2a3e
Hungary (26),,2020-03-04,2020-03-04,#000000
Iceland (27),,2020-04-01,2020-04-04,#012169
Iceland (27),,2020-01-28,2020-01-28,#000000
Lodi (28),,2020-05-18,2020-06-07,#008c45
Lodi (28),,2020-01-31,2020-01-31,#000000
Vó (29),,2020-02-29,2020-03-07,#cd212a
Vó (29),,2020-01-31,2020-01-31,#000000
Luxembourg (30),,2020-04-15,2020-05-05,#00A2E1
Luxembourg (30),,2020-02-29,2020-02-29,#000000
Slovenia (31),,2020-04-20,2020-05-01,#ffdd00
Slovenia (31),,2020-03-04,2020-03-04,#000000
Spain (32),,2020-04-27,2020-05-01,#aa151b
Spain (32),,2020-01-31,2020-01-31,#000000
Barcelona (33),,2020-04-21,2020-04-24,#f1bf00
Barcelona (33),,2020-01-31,2020-01-31,#000000
Stockholm (34),,2020-06-17,2020-06-18,#006aa8
Stockholm (34),,2020-01-31,2020-01-31,#000000
Stockholm (35),,2020-04-01,2020-05-31,#fecd00
Stockholm (35),,2020-01-31,2020-01-31,#000000
Geneva (36),,2020-04-06,2020-05-09,#ff0000
Geneva (36),,2020-02-25,2020-02-25,#000000
Los Angeles (37),,2020-04-10,2020-04-14,#3c3b6e
Los Angeles (37),,2020-01-21,2020-01-21,#000000
Santa Clara (38),,2020-04-03,2020-04-04,#b22234
Santa Clara (38),,2020-01-21,2020-01-21,#000000
Connecticut (39),,2020-06-10,2020-07-06,#3c3b6e
Connecticut (39),,2020-01-21,2020-01-21,#000000
DeKalb and Fulton (40),,2020-04-28,2020-05-03,#b22234
DeKalb and Fulton (40),,2020-01-21,2020-01-21,#000000
Blaine (41),,2020-05-04,2020-05-19,#3c3b6e
Blaine (41),,2020-01-21,2020-01-21,#000000
Indiana (42),,2020-04-25,2020-04-29,#b22234
Indiana (42),,2020-01-21,2020-01-21,#000000
Baton Rouge (43),,2020-07-15,2020-07-31,#3c3b6e
Baton Rouge (43),,2020-01-21,2020-01-21,#000000
Orleans and Jeferson Parishes (44),,2020-05-09,2020-05-15,#b22234
Orleans and Jeferson Parishes (44),,2020-01-21,2020-01-21,#000000
Buenos Aires (45),,2020-06-10,2020-07-01,#3c3b6e
Buenos Aires (45),,2020-03-03,2020-03-03,#000000
Brazil (46),,2020-05-14,2020-05-21,#ffdf00
Brazil (46),,2020-02-26,2020-02-26,#000000
Espírito Santo (47),,2020-05-13,2020-05-15,#002776
Espírito Santo (47),,2020-02-26,2020-02-26,#000000
Maranhão (48),,2020-07-27,2020-08-08,#009c3b
Maranhão (48),,2020-02-26,2020-02-26,#000000
Teresina (49),,2020-04-19,2020-05-31,#ffdf00
Teresina (49),,2020-02-26,2020-02-26,#000000
Rio Grande do Sul (50),,2020-04-11,2020-05-11,#002776
Rio Grande do Sul (50),,2020-02-26,2020-02-26,#000000
São Paulo city (51),,2020-05-04,2020-05-12,#009c3b
São Paulo city (51),,2020-02-26,2020-02-26,#000000
